FORM,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,LOCATION ,NATURE,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE
VAMPIRE,"CROSSBOW, LIGHT",WIND,TIGER,MOUTH,CORAL,ACUPUNCTURIST - ALTERNATIVE MEDICINE,AMUSEMENT PARK,PLANT,HALO,BENEVOLENT,COMPETITIVE,ASTIGMATIC,
ZOMBIE,DAGGER,WOOD,WOLF,NOSE,CORNFLOWERBLUE,ADMINISTRATIVE ASSISTANT OR OFFICER - COURTS - LEGAL SUPPORT SERVICES,AN OASIS,RAIN,ILLUSION,BRILLIANT,COMPLEX,BARBARIC,
ANDROID,DART,FREE,FREE,TAIL,CORNSILK,"ADVERTISING ACCOUNT EXECUTIVE - ADVERTISING, MARKETING AND PR",ANIMAL KINGDOM,ROOT,ROOT,CALM,CONFIDENTIAL,BEWILDERED,
ROBOT,FIST,,,TEETH,CRIMSON,"ADVERTISING ACCOUNT PLANNER - ADVERTISING, MARKETING AND PR",ANTIQUE SHOP,RUINS,LAVA,CAPABLE,CONSERVATIVE,BIZARRE,
,FLAIL,,,,CYAN,"ADVERTISING COPYWRITER - ADVERTISING, MARKETING AND PR",APARTMENT BUILDING,SAND,LUCK,CAPTIVATING,CONTRADICTORY,BLAND,
,FREE,,,,DARKBLUE,ADVICE WORKER - ADVISORY SERVICES,APPLIANCE STORE,SEA,MAGIC,CARING,CRISP,BLUNT,
,GIANT GAUNTLANT,,,,DARKCYAN,ADVOCATE - LAW (PROFESSIONAL),AQUARIUM,SKY,MAGIC BANDAGES,CHALLENGING,CUTE,BIOSTEROUS,
,GLAIVE,,,,DARKGOLDENROD,ADVOCATES' CLERK - LEGAL SUPPORT SERVICES,AQUEDUCT,SMOKE,MAGIC CLOAK,CHARISMATIC,DECEPTIVE,BRITTLE,
,GREATAXE,,,,DARKGRAY,AERIAL AND SATELLITE INSTALLER - ELECTRICAL AND ELECTRONIC ENGINEERING,ARC DE TRIOMPHE,SNOW,MASK,CHARMING,DETERMINED,BRUTAL,
,GREATCLUB,,,,DARKGREEN,AEROSPACE ENGINEER - AERONAUTICAL ENGINEERING,ARCADE,STONE,MAZE,CHEERFUL,DOMINATING,CALCULATING,
,GREATSWORD,,,,DARKKHAKI,AGRICULTURAL CONSULTANT - AGRICULTURE,ARCHES NATIONAL PARK,VINES,MIRAGE,CLEAN,DREAMY,CALLOUS,
,GUN,,,,DARKMAGENTA,AGRICULTURAL OR HORTICULTURAL SCIENTIST - AGRICULTURE,ARCHIVES,FREE,MIRROR,CLEAR-HEADED,DRIVING,CANTAKEROUS,
,HALBERD,,,,DARKOLIVEGREEN,AIR CABIN CREW - AIR TRANSPORT,ARCHWAY,,MONEY,CLEVER,DROLL,CARELESS,
,HANDAXE,,,,DARKORANGE,AIR CONDITIONING ENGINEER - ENGINEERING GENERAL,ARENA,,NECROMANCY,COLORFUL,DRY,CAUTIOUS,
,JAVELIN,,,,DARKORCHID,AIR QUALITY CONSULTANT - ENVIRONMENTAL SERVICES,"ARENA (+ GLADIATORIAL, MUSIC, PERFORMANCE, RACING, SPORTS)",,NEEDLE,COMPANIONLY,EARTHY,CHARMLESS,
,LANCE,,,,DARKRED,AIR TRAFFIC CONTROLLER - AIR TRANSPORT,ARENA DI VERONA,,NONE,COMPASSIONATE,EFFEMINATE,CHILDISH,
,LIGHT HAMMER,,,,DARKSALMON,AIRCRAFT MECHANIC OR ENGINEER - AERONAUTICAL ENGINEERING,ARGENTINA,,NOSE BLEED,CONCILIATORY,EMOTIONAL,CLUMSY,
,LONGBOW,,,,DARKSEAGREEN,AIRLINE OR AIRPORT PASSENGER SERVICE ASSISTANT - AIR TRANSPORT,ARLINGTON NATIONAL CEMETERY,,OCEAN,CONFIDENT,ENIGMATIC,COARSE,
,LONGSWORD,,,,DARKSLATEBLUE,AIRLINE PILOT - AIR TRANSPORT,ARMY BASE,,ORIGAMI,CONSCIENTIOUS,EXPERIMENTAL,COLD,
,MACE,,,,DARKSLATEGRAY,AMBULANCE CARE ASSISTANT - AMBULANCE SERVICES,ARMY SURPLUS STORE,,PANDORAS BOX,CONSIDERATE,FAMILIAL,COLORLESS,
,MAUL,,,,DARKTURQUOISE,AMBULANCE TECHNICIAN - AMBULANCE SERVICES,ART GALLERY,,PAPER,CONSTANT,FOLKSY,COMPLACENT,
,MORNINGSTAR,,,,DARKVIOLET,AMES TAPER - CONSTRUCTION CRAFTS,ART MUSEUM,,PARAGON,CONTEMPLATIVE,FORMAL,COMPLAINTIVE,
,NET,,,,DEEPPINK,ANATOMICAL PATHOLOGY TECHNOLOGIST - MEDICAL TECHNOLOGY,ASYLUM,,PETRIFICATION,COOPERATIVE,FREEWHEELING,COMPULSIVE,
,PIKE,,,,DEEPSKYBLUE,ANIMAL CARE ASSISTANT - WORK WITH ANIMALS,AT&T STADIUM,,PHOBIA,COURAGEOUS,FRUGAL,CONCEITED,
,QUARTERSTAFF,,,,DIMGRAY,ANIMAL TECHNICIAN - WORK WITH ANIMALS - SCIENCE GENERAL,ATLANTIC CITY,,POLLEN,COURTEOUS,GLAMOROUS,CONDEMNATORY,
,RAPIER,,,,DODGERBLUE,ANIMATOR - FINE ART OR GRAPHIC DESIGN,ATLANTIC CITY BOARDWALK,,PUZZLE,CREATIVE,GUILELESS,CONFORMIST,
,SCIMITAR,,,,FIREBRICK,APOTHECARY,AUCTION HOUSE,,REGAL,CULTURED,HIGH-SPIRITED,CONFUSED,
,SCYTHE,,,,FLORALWHITE,APPLICATIONS DEVELOPER - PROGRAMMING AND DEVELOPMENT - WEB AND MULTIMEDIA,AUDITORIUM,,RELIC,CURIOUS,HURIED,CONTEMPTIBLE,
,SHIELD,,,,FORESTGREEN,ARBORIST - ARBORICULTURE AND HORTICULTURE,AUDUBON AQUARIUM OF THE AMERICAS,,RIBBON,DARING,HYPNOTIC,CONVENTIONAL,
,SHORTBOW,,,,FREE,ARCHAEOLOGIST - CULTURE AND HERITAGE,AUSTRALIA,,RUNES,DEBONAIR,ICONOCLASTIC,COWARDLY,
,SHORTSWORD,,,,FUCHSIA,ARCHITECT - ARCHITECTURE,AUSTRIA,,SACRED,DECENT,IDIOSYNCRATIC,CRAFTY,
,SICKLE,,,,GAINSBORO,ARCHITECTURAL TECHNOLOGIST - ARCHITECTURE,AUTOMAT,,SANDMAN,DECISIVE,IMPASSIVE,CRASS,
,SLING,,,,GHOSTWHITE,ARCHIVIST - LIBRARIES AND INFORMATION SCIENCE - MEDIA AND BROADCASTING,AVIARY,,SCALES,DEDICATED,IMPERSONAL,CRAZY,
,SLINGSHOT,,,,GOLD,ARMY – OFFICER - ARMED SERVICES,BADLANDS NATIONAL PARK,,SCAR,DEEP,IMPRESSIONABLE,CRIMINAL,
,SPEAR,,,,GOLDENROD,ARMY – SOLDIER - ARMED SERVICES,BAKERY,,SCARF,DIGNIFIED,INTENSE,CRITICAL,
,STAFF,,,,GRAY,AROMATHERAPIST - WELLBEING,BALBOA PARK,,SCROLL,DIRECTED,INVISIBLE,CRUDE,
,TRIDENT,,,,GREEN,ART THERAPIST - THERAPISTS,BALCONY,,SHRINE,DISCIPLINED,IRRELIGIOUS,CRUEL,
,WAND,,,,GREENYELLOW,ARTIST,BANK,,SIGIL,DISCREET,IRREVERENT,CYNICAL,
,WAR PICK,,,,HONEYDEW,ARTS ADMINISTRATOR - ARTS ADMINISTRATION,BAR,,SIN,DRAMATIC,MATERNAL,DECADENT,
,WARHAMMER,,,,HOTPINK,ASSASSIN,BARBARBERSHOP,,SLEEP,DUTIFUL,MELLOW,DECEITFUL,
,WHIP,,,,INDIANRED,ASSEMBLER - ELECTRONICS - ELECTRICAL AND ELECTRONIC ENGINEERING,BARN,,SOUL,DYNAMIC,MODERN,DELICATE,
,,,,,INDIGO,ASSISTANCE DOG TRAINER - WORK WITH ANIMALS,BARRACKS,,SOUL SEWER,EARNEST,MORALISTIC,DEMANDING,
,,,,,IVORY,ASTROLOGER,BASEBALL DIAMOND,,SOUL SNAKE,EBULLIENT,MYSTICAL,DEPENDENT,
,,,,,KHAKI,ASTRONOMER OR ASTROPHYSICIST - PHYSICS,"BASEMENT, CELLAR",,SPELL,EDUCATED,NEUTRAL,DESPERATE,
,,,,,LAVENDER,AUCTIONEER - RETAIL AND SALES,BAT CAVE,,STITCH,EFFICIENT,NONCOMMITTAL,DESTRUCTIVE,
,,,,,LAVENDERBLUSH,AUDIOLOGIST - MEDICAL TECHNOLOGY,BATHHOUSE,,STRING,ELEGANT,NONCOMPETITIVE,DEVIOUS,
,,,,,LAWNGREEN,AUTOMOTIVE ENGINEER - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),BATTLE GROUND,,STUFFED ANIMALS,ELOQUENT,OBEDIENT,DIFFICULT,
,,,,,LEMONCHIFFON,BAKER OR CONFECTIONER - FOOD AND DRINK MANUFACTURING,BAZAAR,,SUMMON,EMPATHETIC,OLD-FASHINED,DIRTY,
,,,,,LIGHTBLUE,BANK OR BUILDING SOCIETY CUSTOMER BRANCH ADVISER - FINANCIAL SERVICES,BEACH,,TALISMAN,ENERGETIC,ORDINARY,DISCONCERTING,
,,,,,LIGHTCORAL,BANK OR BUILDING SOCIETY MANAGER - FINANCIAL SERVICES,BEAUTY SALON,,TAROT,ENTHUSIASTIC,OUTSPOKEN,DISCONTENTED,
,,,,,LIGHTCYAN,BAR WORKER - HOSPITALITY,BED AND BREAKFAST,,TATTOO,ESTHETIC,PATERNALISTIC,DISCOURAGING,
,,,,,LIGHTGOLDENRODYELLOW,BARBER - HAIRDRESSING,BEDROOM,,TEARS,EXCITING,PHYSICAL,DISCOURTEOUS,
,,,,,LIGHTGRAY,BEAUTY CONSULTANT - BEAUTY - RETAIL AND SALES,BEHIND A WATERFALL,,TOXIC ,EXTRAORDINARY,PLACID,DISHONEST,
,,,,,LIGHTGREEN,BEAUTY THERAPIST - BEAUTY,BELGIUM,,UMBRELLA,FAIR,POLITICAL,DISLOYAL,
,,,,,LIGHTPINK,"BILL POSTER OR ADVERTISING INSTALLER - ADVERTISING, MARKETING AND PR",BELLAGIO,,VIRTUES,FAITHFUL,PREDICTABLE,DISOBEDIENT,
,,,,,LIGHTSALMON,BIM TECHNICIAN - BUILDING TECHNOLOGY AND MANAGEMENT,BELMONT PARK,,VOICE,FARSIGHTED,PREOCCUPIED,DISORDERLY,
,,,,,LIGHTSEAGREEN,BIOCHEMIST - BIOLOGY,BERLIN,,WEAPON SHIFTER,FELICIFIC,PRIVATE,DISORGANIZED,
,,,,,LIGHTSKYBLUE,BIOLOGIST - BIOLOGY,BERLIN WALL,,WINER MAKER ,FIRM,PROGRESSIVE,DISPUTATIOUS,
,,,,,LIGHTSLATEGRAY,BIOMEDICAL SCIENTIST - MEDICAL TECHNOLOGY,BIG BEN,,ZIPPERS,FLEXIBLE,PROUD,DISRESPECTFUL,
,,,,,LIGHTSTEELBLUE,BIOTECHNOLOGIST - BIOLOGY,BILTMORE,,FREE,FOCUSED,PURE,DISRUPTIVE,
,,,,,LIGHTYELLOW,BLACKSMITH - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),BISTRO,,COMET,FORECFUL,QUESTIONING,DISSOLUTE,
,,,,,LIME,BOAT OR SHIP BUILDER - NAVAL ARCHITECTURE AND MARINE ENGINEERING,"BLACK MARKET, UNDERGROUND MARKET",,GALAXY,FORGIVING,QUIET,DISSONANT,
,,,,,LIMEGREEN,BODY PIERCER - BEAUTY,"BLACK MOUNTAIN, KENTUCKY",,MOON,FORTHRIGHT,RELIGIOUS,DISTRACTIBLE,
,,,,,LINEN,BODYGUARD - POLICE AND SECURITY WORK,BLUE LAGOON,,,FREETHINKING,RESERVED,DISTURBING,
,,,,,MAGENTA,BOOKMAKER - RETAIL AND SALES,"BOARD (+ MESSAGE, QUEST)",,PLANET,FRIENDLY,RESTRAINED,DOGMATIC,
,,,,,MAROON,BORDER FORCE OFFICER OR ASSISTANT OFFICER - POLICE AND SECURITY WORK,BONAVENTURE CEMETERY,,STAR,FUN-LOVING,RETIRING,DOMINEERING,
,,,,,MEDIUMAQUAMARINE,BOTANIST - BIOLOGY - ARBORICULTURE AND HORTICULTURE,BOOK STORE,,SUN,GALLANT,SARCASTIC,DULL,
,,,,,MEDIUMBLUE,BREWERY WORKER - FOOD AND DRINK MANUFACTURING,BOOM CHAIN - HARBOR CHAIN OR RIVER CHAIN USED TO BLOCK BOATS. OPERATED FROM A CHAIN TOWER,,,GENEROUS,SELF-CONSCIOUS,EASILY DISCOURAGED,
,,,,,MEDIUMORCHID,BRICKLAYER - CONSTRUCTION CRAFTS,"BOURBON STREET, NEW ORLEANS",,,GENTLE,SENSUAL,EGOCENTRIC,
,,,,,MEDIUMPURPLE,BRITISH SIGN LANGUAGE INTERPRETER - LANGUAGES,BOUTIQUE,,,GENUINE,SKEPTICAL,ENERVATED,
,,,,,MEDIUMSEAGREEN,BROADCAST ENGINEER - ELECTRICAL AND ELECTRONIC ENGINEERING,BOWLING ALLEY,,,GOOD-NATURED,SMOOTH,ENVIOUS,
,,,,,MEDIUMSLATEBLUE,BROADCAST JOURNALIST - JOURNALISM - MEDIA AND BROADCASTING,BRAN CASTLE,,,GRACIOUS,SOFT,ERRATIC,
,,,,,MEDIUMSPRINGGREEN,BROTHEL KEEPER,BREAKWATER,,,HARDWORKING,SOLEMN,ESCAPIST,
,,,,,MEDIUMTURQUOISE,BUG CATCHER,BREWERY,,,HEALTHY,SOLITARY,EXCITABLE,
,,,,,MEDIUMVIOLETRED,BUILDERS' MERCHANT - RETAIL AND SALES,"BRIDGE (COVERED BRIDGE, DRAW BRIDGE, ROPE BRIDGE, SKY BRIDGE)",,,HEARTY,STERN,EXPEDIENT,
,,,,,MIDNIGHTBLUE,BUILDING SERVICES ENGINEER - BUILDING TECHNOLOGY AND MANAGEMENT,BRIDGE OF SIGHS,,,HELPFUL,STOIID,EXTRAVAGANT,
,,,,,MINT,BUILDING STANDARDS SURVEYOR - SURVEYING,BRIGHTON PIER,,,HERIOC,STRICT,EXTREME,
,,,,,MINTCREAM,BUILDING TECHNICIAN - BUILDING TECHNOLOGY AND MANAGEMENT,BRITISH MUSEUM,,,HIGH-MINDED,STUBBORN,FAITHLESS,
,,,,,MISTYROSE,BUS OR COACH DRIVER - ROAD TRANSPORT,BROADWAY,,,HONEST,STYLISH,FALSE,
,,,,,MOCCASIN,BUTCHER - RETAIL AND SALES - FOOD AND DRINK MANUFACTURING,BROOKLYN BRIDGE,,,HONORABLE,SUBJECTIVE,FANATICAL,
,,,,,NAME,CABINET MAKER - FURNITURE,BROTHEL,,,HUMBLE,SURPRISING,FANCIFUL,
,,,,,NAVAJOWHITE,CAD TECHNICIAN - ENGINEERING GENERAL,"BROTHEL, HOUSE OF ILL REPUTE",,,HUMOROUS,SOFT,FATALISTIC,
,,,,,NAVY,CALL CENTRE AGENT - CALL CENTRES,BRYCE CANYON NATIONAL PARK,,,IDEALISTIC,TOUGH,FAWNING,
,,,,,NONE,CALLIGRAPHIST,BUCKINGHAM PALACE,,,IMAGINATIVE,UNAGGRESSIVE,FEARFUL,
,,,,,OLDLACE,CAMERA OPERATOR - MEDIA AND BROADCASTING,BUFFALO NATIONAL RIVER,,,IMPRESSIVE,UNAMBITIOUS,FICKLE,
,,,,,OLIVE,CAR VALET - VEHICLE RELATED SERVICES,BUNGALOW,,,INCISIVE,UNCEREMONIOUS,FIERY,
,,,,,OLIVEDRAB,CARDIAC PHYSIOLOGIST - MEDICAL TECHNOLOGY,BURIAL MOUND,,,INCORRUPTIBLE,UNCHANGING,FIXED,
,,,,,ORANGE,CARE ASSISTANT OR SUPPORT WORKER - SOCIAL WORK OR SOCIAL CARE,BUS,,,INDEPENDENT,UNDEMANDING,FLAMBOYANT,
,,,,,ORANGERED,CARE HOME MANAGER - SOCIAL WORK OR SOCIAL CARE,BUS STOP,,,INDIVIDUALISTIC,UNFATHOMABLE,FOOLISH,
,,,,,ORCHID,CAREERS ADVISER - ADVISORY SERVICES,BUSCH GARDENS TAMPA BAY,,,INNOVATIVE,UNHURRIED,FORGETFUL,
,,,,,PALEGOLDENROD,CARETAKER - FACILITIES MANAGEMENT,BUTCHER SHOP,,,INOFFENSIVE,UNINHIBITED,FRAUDULENT,
,,,,,PALEGREEN,CARPET AND UPHOLSTERY CLEANER - PROPERTY SERVICES,CABIN,,,INSIGHTFUL,UNPATRIOTIC,FRIGHTENING,
,,,,,PALETURQUOISE,CARTOGRAPHER - SURVEYING,"CACHE (+ PIRATES, REBEL, SMUGGLERS, THIEVES)",,,INSOUCIANT,UNPREDICATABLE,FRIVOLOUS,
,,,,,PALEVIOLETRED,CATERING MANAGER - HOSPITALITY,CAER / CAIR (STRONGHOLD),,,INTELLIGENT,UNRELIGIOUS,GLOOMY,
,,,,,PAPAYAWHIP,CCTV OPERATOR - POLICE AND SECURITY WORK,CAFE,,,INTUITIVE,UNSENTIMENTAL,GRACELESS,
,,,,,PEACHPUFF,CEILING FIXER - CONSTRUCTION CRAFTS,CAFETERIA,,,INVULNERABLE,WHIMSICAL,GRAND,
,,,,,PERU,CEMETERY WORKER - GENERAL SERVICES,CAIRN,,,KIND,,GREEDY,
,,,,,PINK,CERAMIC DESIGNER - 3 DIMENSIONAL DESIGN,CAMERA STORE,,,KNOWLEDGE,,GRIM,
,,,,,PLUM,CHARACTER ARTIST - FINE ART OR GRAPHIC DESIGN - WEB AND MULTIMEDIA,CANAL,,,LEADERLY,,GULLIBLE,
,,,,,POWDERBLUE,"CHARITY FUNDRAISER - ADVERTISING, MARKETING AND PR",CANDY SHOP,,,LEISURELY,,HATEFUL,
,,,,,PURPLE,CHEF OR COOK - HOSPITALITY,CANTINA,,,LIBERAL,,HAUGHTY,
,,,,,REBECCAPURPLE,CHEMICAL ENGINEER - CHEMICAL AND MATERIALS ENGINEERING,CAPE COD,,,LOGICAL,,HEDONISTIC,
,,,,,RED,CHEMICAL ENGINEERING TECHNICIAN - CHEMICAL AND MATERIALS ENGINEERING,CAPITOL BUILDING,,,LOVABLE,,HESITANT,
,,,,,ROSYBROWN,CHEMICAL PLANT PROCESS OPERATIVE - CHEMICAL AND MATERIALS ENGINEERING,CAPITOL HILL,,,LOYAL,,HIDEBOUND,
,,,,,ROYALBLUE,CHEMIST - CHEMISTRY AND MATERIALS SCIENCE,CAR DEALERSHIP,,,LYRICAL,,HIGH-HANDED,
,,,,,SADDLEBROWN,CHILDMINDER - CHILDCARE AND EDUCATION,CAR WASH,,,MAGNANIMOUS,,HOSTILE,
,,,,,SALMON,CHILDREN’S HOLIDAY REPRESENTATIVE - TRAVEL AND TOURISM - CHILDCARE AND EDUCATION,"CARAVAN (WAGONS)(+ MERCHANT, MILITARY, NOMADS, PILGRIMS, PRISON, REFUGEE, SETTLERS, SLAVERS)",,,MANY-SIDED,,IGNORANT,
,,,,,SANDYBROWN,CHIROPRACTOR - ALTERNATIVE MEDICINE,"CARAVAN, CAMPERVAN",,,MASCULINE (MANLY),,IMITATIVE,
,,,,,SEAGREEN,CHOREOGRAPHER - DANCE,CARAVANSERAI (INN / OUTFITTER FOR CARAVANS),,,MATURE,,IMPATIENT,
,,,,,SEASHELL,CINEMA OR THEATRE ASSISTANT - LEISURE,"CASINO, GAMBLING HALL",,,METHODICAL,,IMPRACTICAL,
,,,,,SIENNA,CINEMA OR THEATRE MANAGER - LEISURE,CASTLE,,,MATICULOUS,,IMPRUDENT,
,,,,,SILVER,CIVIL ENGINEER - CIVIL AND STRUCTURAL ENGINEERING,CATACOMBS,,,MODERATE,,IMPULSIVE,
,,,,,SKYBLUE,CIVIL ENGINEERING TECHNICIAN - CIVIL AND STRUCTURAL ENGINEERING,CATALINA ISLAND,,,MODEST,,INCONSIDERATE,
,,,,,SLATEBLUE,CIVIL SERVICE ADMINISTRATIVE ASSISTANT AND OFFICER - PUBLIC SERVICES ADMINISTRATION,CATHEDRAL,,,MULTI-LEVELED,,INCURIOUS,
,,,,,SLATEGRAY,CIVIL SERVICE ADMINISTRATOR - FAST STREAM - PUBLIC SERVICES ADMINISTRATION,CAUSEWAY,,,NEAT,,INDECISIVE,
,,,,,SNOW,CLASSROOM ASSISTANT - PRIMARY OR EARLY YEARS - EDUCATION SUPPORT,CEDAR POINT,,,NONAUTHORITARIAN,,INDULGENT,
,,,,,SPRINGGREEN,CLEANER - PROPERTY SERVICES,"CELLAR (+ ROOT, STORM, WINE)",,,OBJECTIVE,,INERT,
,,,,,STEELBLUE,CLERICAL OR ADMINISTRATIVE ASSISTANT - ADMINISTRATION AND MANAGEMENT GENERAL,CEMETERY,,,OBSERVANT,,INHIBITED,
,,,,,TAN,CLERK OF COURT - LEGAL SUPPORT SERVICES,CENTRAL PARK,,,OPEN,,INSECURE,
,,,,,TEAL,CLERK OF WORKS - BUILDING TECHNOLOGY AND MANAGEMENT,CHACO CULTURE NATIONAL HISTORICAL PARK,,,OPTIMISTIC,,INSENSITIVE,
,,,,,THISTLE,CLINICAL OR BIOMEDICAL ENGINEER - MEDICAL TECHNOLOGY,CHAIN STORE,,,ORDERLY,,INSINCERE,
,,,,,TOMATO,CLINICAL PERFUSIONIST - MEDICAL TECHNOLOGY,CHAIN TOWER - TOWER USED TO RAISE OR LOWER A BOOM CHAIN (HARBOR OR RIVER CHAIN),,,ORGANIZED,,INSULTING,
,,,,,TURQUOISE,CLINICAL PHOTOGRAPHER - PHOTOGRAPHY,CHAPEL,,,ORIGINAL,,INTOLERANT,
,,,,,VIOLET,CLINICAL TECHNOLOGIST - MEDICAL TECHNOLOGY - ELECTRICAL AND ELECTRONIC ENGINEERING,CHAPEL BRIDGE,,,PAINSTAKING,,IRASCIBLE,
,,,,,WHEAT,CLOTHING ALTERATION HAND - FASHION OR TEXTILE DESIGN - PERSONAL SERVICES,CHATEAU,,,PASSIONATE,,IRRATIONAL,
,,,,,WHITE,CNC MACHINIST - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),CHICKEN COOP,,,PATIENT,,IRRESPONSIBLE,
,,,,,WHITESMOKE,COASTGUARD - EMERGENCY SERVICES,CHILDREN'S ROOM.,,,PATRIOTIC,,IRRITABLE,
,,,,,YELLOW,COLOUR TECHNOLOGIST - CHEMISTRY AND MATERIALS SCIENCE,CHIMNEY ROCK NATIONAL HISTORIC SITE,,,PEACEFUL,,LAZY,
,,,,,YELLOWGREEN,COMMISSIONING EDITOR - PUBLISHING AND WRITING,"CHRIST THE REDEEMER - RIO DE JANERIO, BRAZIL",,,PERCEPTIVE,,LIBIDINOUS,
,,,,,,COMMUNITY ARTS WORKER - COMMUNITY ARTS,CHRYSLER BUILDING,,,PERFECTIONIST,,LOQUACIOUS,
,,,,,,COMMUNITY ENFORCEMENT OFFICER - POLICE AND SECURITY WORK,CHURCH,,,PERSONABLE,,MALICIOUS,
,,,,,,COMMUNITY LEARNING AND DEVELOPMENT OFFICER - COMMUNITY EDUCATION,CHURCH / CHAPEL / CATHEDRAL,,,PERSUASIVE,,MANNERED,
,,,,,,COMPANY SECRETARY - ADMINISTRATION AND MANAGEMENT GENERAL,CINEMA,,,PLANFUL,,MANNERLESS,
,,,,,,COMPOSER OR SONGWRITER - MUSIC,CIRCLE OF STONES,,,PLAYFUL,,MAWKISH,
,,,,,,"CONFERENCE PRODUCER - ADVERTISING, MARKETING AND PR",CIRCLE OF WAGONS,,,POLISHED,,MEALYMOUTHED,
,,,,,,CONSTRUCTION MANAGER OR SITE MANAGER - BUILDING TECHNOLOGY AND MANAGEMENT,CIRCUS,,,POPULAR,,MECHANICAL,
,,,,,,CONTROL AND INSTRUMENT ENGINEER - ELECTRICAL AND ELECTRONIC ENGINEERING,CISTERN,,,PRACTICAL,,MEDDLESOME,
,,,,,,COPY EDITOR - PUBLISHING AND WRITING,CITADEL,,,PRECISE,,MELANCHOLIC,
,,,,,,COSTUME DESIGNER - FASHION OR TEXTILE DESIGN,CITY,,,PRINCIPLED,,MERETRICIOUS,
,,,,,,COUNSELLOR - PSYCHOLOGY AND COUNSELLING,CITY HALL,,,PROFOUND,,MESSY,
,,,,,,COUNTRYSIDE RANGER OR WARDEN - ENVIRONMENTAL AND RURAL RESOURCE MANAGEMENT,CIVIC CENTER,,,PROTEAN,,MISERABLE,
,,,,,,COURIER - ROAD TRANSPORT,CLIFF DWELLINGS,,,PROTECTIVE,,MISERLY,
,,,,,,CRAFT DESIGNER OR WORKER - 3 DIMENSIONAL DESIGN,CLINIC,,,PROVIDENTIAL,,MISGUIDED,
,,,,,,CREDIT MANAGER - FINANCIAL SERVICES,CLOCK TOWER,,,PRUDENT,,MISTAKEN,
,,,,,,CREMATORIUM TECHNICIAN - PERSONAL SERVICES,CLOTHING STORE,,,PUNCTUAL,,MONEY-MINDED,
,,,,,,CRIME SCENE EXAMINER - POLICE AND SECURITY WORK,COACH HOUSE,,,PRUPOSEFUL,,MONSTROUS,
,,,,,,CROUPIER - LEISURE,COFFEE SHOP,,,RATIONAL,,MOODY,
